"Contract Type","Contract Name","Min.Bid Price (TL/MWh)","Max. Bid Price (TL/MWh)"
"Block","PB19010802-01","91.11","108.45"
"Block","PB19010802-02","115.00","115.00"
"Hourly","PH19010802","20.00","113.00"
"Block","PB19010803-01","117.02","121.74"
"Hourly","PH19010803","20.00","125.00"
"Block","PB19010804-01","89.01","96.87"
"Hourly","PH19010804","10.00","96.87"
"Block","PB19010805-01","126.33","126.33"
"Hourly","PH19010805","10.00","140.00"
"Block","PB19010806-01","198.00","198.74"
"Hourly","PH19010806","50.00","205.00"
"Block","PB19010807-01","249.24","258.00"
"Hourly","PH19010807","100.00","259.77"
"Block","PB19010808-01","274.20","285.00"
"Hourly","PH19010808","120.00","285.00"
"Block","PB19010809-01","285.15","296.01"
"Hourly","PH19010809","120.00","309.99"
"Block","PB19010810-01","288.88","310.00"
"Hourly","PH19010810","200.00","346.20"
"Block","PB19010811-02","295.00","295.00"
"Block","PB19010811-01","293.40","305.00"
"Hourly","PH19010811","200.00","315.00"
"Block","PB19010812-01","288.84","310.99"
"Hourly","PH19010812","200.00","314.00"
"Block","PB19010813-01","290.56","319.00"
"Hourly","PH19010813","200.00","321.78"
"Block","PB19010814-01","293.00","320.87"
"Hourly","PH19010814","200.00","323.99"
"Block","PB19010815-01","293.00","320.00"
"Hourly","PH19010815","200.00","325.00"
"Block","PB19010816-02","303.00","303.00"
"Block","PB19010816-01","296.22","316.99"
"Hourly","PH19010816","200.00","321.98"
"Block","PB19010817-01","296.52","328.00"
"Hourly","PH19010817","1.00","328.99"
"Block","PB19010818-06","284.40","289.46"
"Block","PB19010818-01","298.00","322.99"
"Hourly","PH19010818","200.00","321.00"
"Block","PB19010819-01","294.00","305.00"
"Hourly","PH19010819","200.00","319.87"
"Block","PB19010820-01","290.00","299.65"
"Hourly","PH19010820","200.00","308.99"
"Block","PB19010821-01","288.00","294.11"
"Hourly","PH19010821","200.00","395.00"
"Block","PB19010822-01","286.00","291.07"
"Hourly","PH19010822","200.00","304.00"
"Block","PB19010823-01","278.00","284.01"
"Hourly","PH19010823","200.00","296.90"
"Block","PB19010900-01","189.00","198.74"
"Block","PB19010900-12","195.10","195.10"
"Hourly","PH19010900","100.00","198.74"
"Hourly","PH19010901","0.01","199.01"
"Block","PB19010901-01","192.00","198.75"
"Block","PB19010902-01","126.33","126.33"
"Hourly","PH19010902","30.00","133.00"
"Hourly","PH19010903","80.00","205.00"
"Block","PB19010903-01","197.95","198.75"
"Block","PB19010904-01","44.91","46.12"
"Hourly","PH19010904","10.00","57.00"
"Hourly","PH19010905","5.00","80.00"
"Block","PB19010905-01","50.00","54.00"
"Block","PB19010906-01","190.00","192.26"
"Hourly","PH19010906","60.00","290.00"
"Block","PB19010907-01","199.00","232.12"
"Hourly","PH19010907","100.00","232.12"
"Block","PB19010908-01","282.00","288.89"
"Hourly","PH19010908","120.00","295.00"
"Block","PB19010909-01","290.00","296.20"
"Hourly","PH19010909","120.00","300.50"
"Block","PB19010910-01","289.34","295.00"
"Block","PB19010910-03","290.00","290.00"
"Hourly","PH19010910","200.00","300.00"
"Block","PB19010911-04","282.17","282.17"
"Block","PB19010911-01","291.59","320.00"
"Hourly","PH19010911","200.00","300.34"
"Block","PB19010912-03","274.10","274.10"
"Hourly","PH19010912","200.00","295.00"
"Block","PB19010912-08","320.00","320.00"
"Block","PB19010912-01","285.44","290.58"
"Block","PB19010913-01","266.21","277.19"
"Hourly","PH19010913","166.00","278.99"
"Block","PB19010914-01","285.43","285.43"
"Hourly","PH19010914","185.00","298.00"
"Block","PB19010915-04","276.13","276.13"
"Block","PB19010915-01","229.01","260.00"
"Hourly","PH19010915","160.00","270.00"
"Block","PB19010916-01","285.00","287.09"
"Hourly","PH19010916","190.00","295.00"
"Block","PB19010917-01","276.05","290.36"
"Hourly","PH19010917","200.00","300.00"
"Block","PB19010918-01","249.01","287.59"
"Hourly","PH19010918","190.00","304.62"
"Hourly","PH19010919","190.00","300.00"
"Block","PB19010919-01","284.02","290.00"
"Block","PB19010919-05","178.00","178.00"
"Hourly","PH19010920","76.00","194.66"
"Block","PB19010920-01","126.34","150.00"
"Block","PB19010920-04","290.00","290.00"
"Block","PB19010921-01","252.53","259.00"
"Hourly","PH19010921","155.00","300.00"
"Hourly","PH19010922","150.00","292.11"
"Block","PB19010922-01","243.31","245.00"
"Block","PB19010923-01","4.41","290.00"
"Hourly","PH19010923","0.00","285.03"
"Hourly","PH19011000","0.00","9.00"
"Block","PB19011000-01","4.42","4.42"
"Block","PB19011000-03","4.40","4.40"
"Block","PB19011001-01","4.42","4.42"
"Hourly","PH19011001","0.00","11.58"
"Hourly","PH19011002","0.00","9.00"
"Block","PB19011002-01","4.31","4.31"
"Block","PB19011003-03","2.50","2.50"
"Hourly","PH19011003","0.01","8.96"
"Block","PB19011003-01","0.50","2.25"
"Hourly","PH19011004","0.01","7.50"
"Block","PB19011004-01","0.50","2.23"
"Hourly","PH19011005","0.00","9.50"
"Block","PB19011005-01","0.51","2.26"
"Block","PB19011006-01","2.13","4.42"
"Hourly","PH19011006","0.00","20.00"
"Block","PB19011007-01","169.51","179.97"
"Hourly","PH19011007","20.00","180.00"
"Block","PB19011008-01","258.47","259.47"
"Hourly","PH19011008","5.00","265.00"
"Hourly","PH19011009","120.00","279.77"
"Block","PB19011009-01","272.83","273.83"
"Hourly","PH19011010","200.00","301.00"
"Block","PB19011010-01","290.00","296.65"
"Block","PB19011011-01","298.00","298.02"
"Hourly","PH19011011","200.00","305.04"
"Block","PB19011012-01","181.04","182.00"
"Hourly","PH19011012","90.00","190.00"
"Block","PB19011013-01","160.50","179.99"
"Hourly","PH19011013","90.00","184.99"
"Block","PB19011014-01","210.00","258.00"
"Hourly","PH19011014","160.00","266.99"
"Block","PB19011014-03","272.00","272.00"
"Block","PB19011015-02","279.67","279.67"
"Block","PB19011015-01","255.00","263.64"
"Hourly","PH19011015","163.00","265.00"
"Hourly","PH19011016","200.00","297.99"
"Block","PB19011016-01","287.00","295.70"
"Hourly","PH19011017","1.00","302.00"
"Block","PB19011017-02","296.81","296.81"
"Block","PB19011017-01","276.80","297.88"
"Block","PB19011018-01","244.00","295.75"
"Block","PB19011018-03","228.00","228.00"
"Hourly","PH19011018","200.00","298.00"
"Hourly","PH19011019","100.00","209.00"
"Block","PB19011019-01","169.00","200.00"
"Block","PB19011019-05","162.93","162.93"
"Block","PB19011020-01","168.56","188.99"
"Hourly","PH19011020","2.01","202.00"
"Hourly","PH19011021","90.00","188.00"
"Block","PB19011021-01","164.30","180.00"
"Hourly","PH19011022","5.60","64.79"
"Block","PB19011022-01","56.69","61.00"
"Hourly","PH19011023","50.00","194.00"
"Block","PB19011023-01","184.67","188.98"
"Hourly","PH19011100","1.00","9.00"
"Block","PB19011100-01","2.01","9.39"
"Block","PB19011100-24","180.21","180.21"
"Hourly","PH19011101","1.00","10.00"
"Block","PB19011101-01","2.01","3.01"
"Block","PB19011102-01","0.51","3.98"
"Hourly","PH19011102","0.00","6.00"
"Block","PB19011103-01","0.50","0.50"
"Hourly","PH19011103","0.00","6.00"
"Hourly","PH19011104","0.00","50.00"
"Block","PB19011104-01","0.50","1.50"
"Block","PB19011105-01","0.50","0.50"
"Hourly","PH19011105","0.00","6.00"
"Block","PB19011106-01","4.42","4.42"
"Hourly","PH19011106","0.00","12.77"
"Hourly","PH19011107","50.00","260.00"
"Block","PB19011107-01","179.56","179.56"
"Hourly","PH19011108","100.00","300.00"
"Block","PB19011108-01","260.00","283.00"
"Block","PB19011109-01","269.98","290.00"
"Hourly","PH19011109","120.00","290.00"
"Block","PB19011110-01","263.63","301.00"
"Hourly","PH19011110","163.00","283.00"
"Block","PB19011111-01","300.00","320.97"
"Hourly","PH19011111","203.00","319.00"
"Block","PB19011112-01","224.25","225.00"
"Hourly","PH19011112","124.00","238.00"
"Block","PB19011113-01","50.00","69.00"
"Hourly","PH19011113","21.00","70.00"
"Block","PB19011114-01","250.00","258.00"
"Hourly","PH19011114","158.00","271.99"
"Block","PB19011115-01","0.00","262.91"
"Hourly","PH19011115","161.00","270.00"
"Block","PB19011116-01","255.01","301.32"
"Hourly","PH19011116","202.00","310.00"
"Block","PB19011117-01","269.00","306.98"
"Hourly","PH19011117","207.00","322.33"
"Block","PB19011118-06","272.62","272.62"
"Hourly","PH19011118","207.00","315.00"
"Block","PB19011118-01","284.00","306.97"
"Block","PB19011119-01","289.13","301.98"
"Hourly","PH19011119","202.00","308.01"
"Block","PB19011120-01","299.85","324.00"
"Hourly","PH19011120","200.00","311.51"
"Block","PB19011121-01","257.99","271.93"
"Hourly","PH19011121","158.00","271.99"
"Block","PB19011122-01","244.00","258.00"
"Hourly","PH19011122","148.00","262.50"
"Block","PB19011123-01","219.99","229.85"
"Hourly","PH19011123","68.00","234.00"
"Block","PB19011200-01","184.08","199.01"
"Hourly","PH19011200","185.00","204.00"
"Block","PB19011201-01","180.00","198.00"
"Hourly","PH19011201","40.00","198.00"
"Block","PB19011202-01","119.01","126.34"
"Hourly","PH19011202","13.00","126.34"
"Block","PB19011203-01","180.01","190.00"
"Hourly","PH19011203","10.00","190.00"
"Hourly","PH19011204","13.01","126.33"
"Block","PB19011204-01","99.00","126.33"
"Hourly","PH19011205","15.01","149.99"
"Block","PB19011205-01","146.00","149.99"
"Block","PB19011206-01","194.28","199.98"
"Hourly","PH19011206","10.00","199.98"
"Block","PB19011207-01","143.00","174.74"
"Hourly","PH19011207","0.00","175.00"
"Hourly","PH19011208","60.00","225.54"
"Block","PB19011208-01","206.94","224.24"
"Block","PB19011209-01","263.00","299.57"
"Hourly","PH19011209","40.00","299.00"
"Block","PB19011210-01","300.00","321.00"
"Hourly","PH19011210","100.00","330.00"
"Block","PB19011211-01","303.10","306.09"
"Block","PB19011211-02","282.00","282.00"
"Hourly","PH19011211","100.00","320.95"
"Hourly","PH19011212","100.00","358.69"
"Block","PB19011212-01","260.00","269.16"
"Hourly","PH19011213","100.00","265.99"
"Block","PB19011213-01","251.00","256.00"
"Block","PB19011214-01","259.47","265.15"
"Hourly","PH19011214","100.00","274.99"
"Hourly","PH19011215","100.00","301.92"
"Block","PB19011215-01","235.00","235.00"
"Block","PB19011216-01","239.00","250.00"
"Hourly","PH19011216","150.00","260.00"
"Block","PB19011217-01","301.00","316.00"
"Hourly","PH19011217","202.00","345.00"
"Block","PB19011218-01","303.09","321.00"
"Hourly","PH19011218","100.00","319.99"
"Hourly","PH19011219","200.00","310.00"
"Block","PB19011219-01","291.00","307.00"
"Block","PB19011220-01","290.24","299.57"
"Block","PB19011220-04","257.00","257.00"
"Hourly","PH19011220","200.00","300.00"
"Block","PB19011221-01","267.00","271.98"
"Hourly","PH19011221","160.00","271.00"
"Block","PB19011222-01","232.05","245.00"
"Hourly","PH19011222","160.00","267.00"
