"Contract Type","Contract Name","Clearing Quantity (MWh)"
"Block","PB19010923-01","626.90"
"Hourly","PH19010923","1,466.10"
"Hourly","PH19011000","436.10"
"Block","PB19011000-01","29.50"
"Block","PB19011000-03","75.00"
"Block","PB19011001-01","40.30"
"Hourly","PH19011001","433.40"
"Hourly","PH19011002","407.50"
"Block","PB19011002-01","54.70"
"Block","PB19011003-03","50.00"
"Hourly","PH19011003","438.50"
"Block","PB19011003-01","44.20"
"Hourly","PH19011004","419.00"
"Block","PB19011004-01","49.90"
"Hourly","PH19011005","355.40"
"Block","PB19011005-01","48.60"
"Block","PB19011006-01","121.10"
"Hourly","PH19011006","233.70"
"Block","PB19011007-01","66.40"
"Hourly","PH19011007","357.30"
"Block","PB19011008-01","57.00"
"Hourly","PH19011008","396.40"
"Hourly","PH19011009","459.40"
"Block","PB19011009-01","82.20"
"Hourly","PH19011010","504.50"
"Block","PB19011010-01","61.60"
"Block","PB19011011-01","132.20"
"Hourly","PH19011011","503.90"
"Block","PB19011012-01","63.50"
"Hourly","PH19011012","699.30"
"Block","PB19011013-01","121.40"
"Hourly","PH19011013","725.30"
"Block","PB19011014-01","109.80"
"Hourly","PH19011014","535.90"
"Block","PB19011014-03","3.00"
"Block","PB19011015-02","18.60"
"Block","PB19011015-01","113.80"
"Hourly","PH19011015","381.30"
"Hourly","PH19011016","515.50"
"Block","PB19011016-01","103.80"
"Hourly","PH19011017","581.30"
"Block","PB19011017-02","18.60"
"Block","PB19011017-01","81.00"
"Block","PB19011018-01","69.60"
"Block","PB19011018-03","2.00"
"Hourly","PH19011018","454.90"
"Hourly","PH19011019","930.80"
"Block","PB19011019-01","74.90"
"Block","PB19011019-05","60.00"
"Block","PB19011020-01","67.70"
"Hourly","PH19011020","786.70"
"Hourly","PH19011021","617.30"
"Block","PB19011021-01","169.40"
"Hourly","PH19011022","545.10"
"Block","PB19011022-01","365.10"
"Hourly","PH19011023","501.20"
"Block","PB19011023-01","73.60"
"Hourly","PH19011100","257.40"
"Block","PB19011100-01","99.50"
"Block","PB19011100-24","63.00"
"Hourly","PH19011101","250.70"
"Block","PB19011101-01","101.60"
"Block","PB19011102-01","118.20"
"Hourly","PH19011102","367.20"
"Block","PB19011103-01","97.90"
"Hourly","PH19011103","349.90"
"Hourly","PH19011104","309.50"
"Block","PB19011104-01","101.70"
"Block","PB19011105-01","96.40"
"Hourly","PH19011105","302.20"
"Block","PB19011106-01","104.90"
"Hourly","PH19011106","246.10"
"Hourly","PH19011107","461.90"
"Block","PB19011107-01","69.10"
"Hourly","PH19011108","283.50"
"Block","PB19011108-01","80.80"
"Block","PB19011109-01","104.30"
"Hourly","PH19011109","184.30"
"Block","PB19011110-01","113.30"
"Hourly","PH19011110","214.30"
"Block","PB19011111-01","80.20"
"Hourly","PH19011111","461.40"
"Block","PB19011112-01","97.10"
"Hourly","PH19011112","584.10"
"Block","PB19011113-01","96.40"
"Hourly","PH19011113","381.50"
"Block","PB19011114-01","66.20"
"Hourly","PH19011114","561.00"
"Block","PB19011115-01","83.40"
"Hourly","PH19011115","617.70"
"Block","PB19011116-01","61.60"
"Hourly","PH19011116","522.20"
"Block","PB19011117-01","112.00"
"Hourly","PH19011117","754.70"
"Block","PB19011118-06","28.00"
"Hourly","PH19011118","823.60"
"Block","PB19011118-01","117.90"
"Block","PB19011119-01","62.80"
"Hourly","PH19011119","540.20"
"Block","PB19011120-01","77.90"
"Hourly","PH19011120","385.10"
"Block","PB19011121-01","81.20"
"Hourly","PH19011121","511.10"
"Block","PB19011122-01","100.30"
"Hourly","PH19011122","642.40"
"Block","PB19011123-01","95.70"
"Hourly","PH19011123","813.10"
"Block","PB19011200-01","128.00"
"Hourly","PH19011200","280.30"
"Block","PB19011201-01","63.80"
"Hourly","PH19011201","222.10"
"Block","PB19011202-01","66.80"
"Hourly","PH19011202","291.60"
"Block","PB19011203-01","64.90"
"Hourly","PH19011203","320.60"
"Hourly","PH19011204","236.20"
"Block","PB19011204-01","60.00"
"Hourly","PH19011205","186.70"
"Block","PB19011205-01","76.80"
"Block","PB19011206-01","57.40"
"Hourly","PH19011206","212.20"
"Block","PB19011207-01","73.00"
"Hourly","PH19011207","117.60"
"Hourly","PH19011208","359.10"
"Block","PB19011208-01","56.10"
"Block","PB19011209-01","68.60"
"Hourly","PH19011209","95.30"
"Block","PB19011210-01","73.00"
"Hourly","PH19011210","136.70"
"Block","PB19011211-01","65.50"
"Block","PB19011211-02","4.00"
"Hourly","PH19011211","330.70"
"Hourly","PH19011212","395.70"
"Block","PB19011212-01","101.20"
"Hourly","PH19011213","540.60"
"Block","PB19011213-01","80.90"
"Block","PB19011214-01","80.40"
"Hourly","PH19011214","602.90"
"Hourly","PH19011215","848.70"
