"Contract Type","Contract Name","Trade Value (TL)"
"Hourly","PH19010706","77,318.43"
"Block","PB19010706-01","6,706.87"
"Block","PB19010707-01","6,217.39"
"Hourly","PH19010707","43,500.85"
"Hourly","PH19010708","25,349.61"
"Block","PB19010708-01","5,131.33"
"Block","PB19010709-01","4,602.49"
"Hourly","PH19010709","30,172.27"
"Hourly","PH19010710","60,558.20"
"Block","PB19010710-01","4,811.74"
"Block","PB19010711-02","2,815.20"
"Block","PB19010711-13","0.00"
"Hourly","PH19010711","63,870.67"
"Block","PB19010711-01","2,880.20"
"Hourly","PH19010712","110,830.92"
"Block","PB19010712-01","7,930.65"
"Block","PB19010712-12","331.18"
"Block","PB19010712-02","2,950.00"
"Block","PB19010713-01","6,883.87"
"Hourly","PH19010713","180,386.72"
"Block","PB19010713-03","3,055.50"
"Block","PB19010714-03","3,504.00"
"Hourly","PH19010714","124,933.54"
"Block","PB19010714-01","10,265.71"
"Hourly","PH19010715","116,874.94"
"Block","PB19010715-01","15,011.66"
"Block","PB19010716-02","1,583.28"
"Hourly","PH19010716","100,490.19"
"Block","PB19010716-01","14,772.74"
"Hourly","PH19010717","106,956.37"
"Block","PB19010717-01","16,246.10"
"Block","PB19010718-01","16,058.32"
"Hourly","PH19010718","106,560.28"
"Block","PB19010718-02","3,665.41"
"Hourly","PH19010719","79,002.96"
"Block","PB19010719-01","19,013.96"
"Block","PB19010720-01","15,306.73"
"Hourly","PH19010720","83,294.12"
"Block","PB19010720-03","14,822.12"
"Block","PB19010720-02","1,549.15"
"Hourly","PH19010721","170,678.85"
"Block","PB19010721-01","17,651.65"
"Block","PB19010722-01","17,785.51"
"Hourly","PH19010722","242,232.09"
"Block","PB19010723-01","7,209.60"
"Hourly","PH19010723","87,612.08"
"Hourly","PH19010800","33,136.76"
"Block","PB19010800-01","5,838.83"
"Block","PB19010801-01","8,589.90"
"Hourly","PH19010801","39,946.91"
"Block","PB19010802-01","5,240.37"
"Block","PB19010802-02","1,610.00"
"Hourly","PH19010802","18,198.73"
"Block","PB19010803-01","5,241.61"
"Hourly","PH19010803","17,933.88"
"Block","PB19010804-01","5,619.88"
"Hourly","PH19010804","22,925.73"
"Block","PB19010805-01","5,192.16"
"Hourly","PH19010805","33,415.71"
"Block","PB19010806-01","9,538.78"
"Hourly","PH19010806","59,128.92"
"Block","PB19010807-01","13,086.65"
"Hourly","PH19010807","53,496.20"
"Block","PB19010808-01","16,575.30"
"Hourly","PH19010808","155,914.14"
"Block","PB19010809-01","19,219.17"
"Hourly","PH19010809","64,679.04"
"Block","PB19010810-01","19,885.91"
"Hourly","PH19010810","88,743.68"
"Block","PB19010811-02","590.00"
"Block","PB19010811-01","23,081.72"
"Hourly","PH19010811","100,921.34"
"Block","PB19010812-01","27,310.73"
"Hourly","PH19010812","100,277.44"
"Block","PB19010813-01","30,745.96"
"Hourly","PH19010813","111,399.33"
"Block","PB19010814-01","40,886.18"
"Hourly","PH19010814","77,135.47"
"Block","PB19010815-01","36,326.96"
"Hourly","PH19010815","86,678.79"
"Block","PB19010816-02","0.00"
"Block","PB19010816-01","42,366.52"
"Hourly","PH19010816","111,595.91"
"Block","PB19010817-01","54,772.06"
"Hourly","PH19010817","99,826.42"
"Block","PB19010818-06","38,643.11"
"Block","PB19010818-01","23,733.71"
"Hourly","PH19010818","95,696.98"
"Block","PB19010819-01","17,169.27"
"Hourly","PH19010819","81,807.91"
"Block","PB19010820-01","17,256.78"
"Hourly","PH19010820","157,151.53"
"Block","PB19010821-01","14,597.45"
"Hourly","PH19010821","164,562.22"
"Block","PB19010822-01","10,839.53"
"Hourly","PH19010822","165,833.41"
"Block","PB19010823-01","12,726.55"
"Hourly","PH19010823","146,757.65"
"Block","PB19010900-01","4,520.00"
"Block","PB19010900-12","46,824.00"
"Hourly","PH19010900","28,286.04"
"Hourly","PH19010901","17,750.07"
"Block","PB19010901-01","4,828.95"
"Block","PB19010902-01","3,752.00"
"Hourly","PH19010902","15,897.22"
"Hourly","PH19010903","19,188.27"
"Block","PB19010903-01","5,365.45"
"Block","PB19010904-01","2,046.90"
"Hourly","PH19010904","6,293.70"
"Hourly","PH19010905","6,262.10"
"Block","PB19010905-01","1,394.80"
"Block","PB19010906-01","6,748.62"
"Hourly","PH19010906","22,669.94"
"Block","PB19010907-01","9,722.52"
"Hourly","PH19010907","60,261.81"
"Block","PB19010908-01","16,554.63"
"Hourly","PH19010908","54,590.76"
"Block","PB19010909-01","22,596.71"
"Hourly","PH19010909","72,037.49"
"Block","PB19010910-01","21,944.85"
"Block","PB19010910-03","435.00"
"Hourly","PH19010910","102,579.55"
"Block","PB19010911-04","6,546.34"
"Block","PB19010911-01","69,429.43"
"Hourly","PH19010911","124,393.80"
"Block","PB19010912-03","16,446.00"
"Hourly","PH19010912","129,817.40"
"Block","PB19010912-08","1,139,200.00"
"Block","PB19010912-01","21,503.64"
"Block","PB19010913-01","21,138.17"
"Hourly","PH19010913","133,041.26"
"Block","PB19010914-01","20,322.62"
"Hourly","PH19010914","145,966.23"
"Block","PB19010915-04","22,090.40"
"Block","PB19010915-01","25,905.02"
"Hourly","PH19010915","163,205.22"
"Block","PB19010916-01","24,683.72"
"Hourly","PH19010916","302,217.29"
"Block","PB19010917-01","33,011.15"
"Hourly","PH19010917","311,801.94"
"Block","PB19010918-01","15,939.54"
"Hourly","PH19010918","275,843.41"
"Hourly","PH19010919","338,465.90"
"Block","PB19010919-01","19,551.42"
"Block","PB19010919-05","17,800.00"
"Hourly","PH19010920","199,602.15"
"Block","PB19010920-01","9,721.09"
"Block","PB19010920-04","578,840.00"
"Block","PB19010921-01","18,709.22"
"Hourly","PH19010921","312,624.07"
"Hourly","PH19010922","264,309.05"
"Block","PB19010922-01","15,076.89"
"Block","PB19010923-01","97,671.45"
"Hourly","PH19010923","21,585.24"
"Hourly","PH19011000","2,004.00"
"Block","PB19011000-01","130.39"
"Block","PB19011000-03","990.00"
"Block","PB19011001-01","178.13"
"Hourly","PH19011001","2,111.56"
"Hourly","PH19011002","1,879.23"
"Block","PB19011002-01","235.76"
"Block","PB19011003-03","375.00"
"Hourly","PH19011003","1,019.73"
"Block","PB19011003-01","86.68"
"Hourly","PH19011004","961.13"
"Block","PB19011004-01","84.81"
"Hourly","PH19011005","842.32"
"Block","PB19011005-01","83.41"
"Block","PB19011006-01","466.40"
"Hourly","PH19011006","1,050.39"
"Block","PB19011007-01","11,890.39"
"Hourly","PH19011007","63,601.09"
"Block","PB19011008-01","14,785.29"
"Hourly","PH19011008","102,860.42"
"Hourly","PH19011009","125,624.19"
"Block","PB19011009-01","22,494.88"
"Hourly","PH19011010","149,190.98"
"Block","PB19011010-01","18,200.57"
"Block","PB19011011-01","39,397.99"
"Hourly","PH19011011","150,554.94"
