"Contract Type","Contract Name","Min. Offer Price (TL/MWh)","Max. Offer Price (TL/MWh)"
"Block","PB19011210-01","300.00","321.00"
"Hourly","PH19011210","280.00","390.00"
"Block","PB19011211-01","303.10","306.09"
"Block","PB19011211-02","282.00","282.00"
"Hourly","PH19011211","285.00","373.00"
"Hourly","PH19011212","220.00","350.00"
"Block","PB19011212-01","260.00","269.16"
"Hourly","PH19011213","238.72","340.00"
"Block","PB19011213-01","251.00","256.00"
"Block","PB19011214-01","259.47","265.15"
"Hourly","PH19011214","241.00","340.00"
"Hourly","PH19011215","227.95","330.00"
"Block","PB19011215-01","235.00","235.00"
"Block","PB19011216-01","239.00","250.00"
"Hourly","PH19011216","212.00","330.00"
"Block","PB19011217-01","301.00","316.00"
"Hourly","PH19011217","292.86","371.00"
"Block","PB19011218-01","303.09","321.00"
"Hourly","PH19011218","294.00","393.00"
"Hourly","PH19011219","33.99","370.00"
"Block","PB19011219-01","291.00","307.00"
"Block","PB19011220-01","290.24","299.57"
"Block","PB19011220-04","257.00","257.00"
"Hourly","PH19011220","280.00","370.00"
"Block","PB19011221-01","267.00","271.98"
