"Contract Type","Contract Name","Bid Quantity (MWh)","Offer Quantity (MWh)"
"Block","PB19011014-01","109.80","113.60"
"Hourly","PH19011014","672.40","1,243.30"
"Block","PB19011014-03","3.00","3.00"
"Block","PB19011015-02","18.60","18.60"
"Block","PB19011015-01","113.80","129.80"
"Hourly","PH19011015","515.80","895.00"
"Hourly","PH19011016","657.60","1,026.00"
"Block","PB19011016-01","103.80","108.80"
"Hourly","PH19011017","722.60","2,707.80"
"Block","PB19011017-02","18.60","18.60"
"Block","PB19011017-01","81.00","94.00"
"Block","PB19011018-01","69.60","69.60"
"Block","PB19011018-03","2.00","2.00"
"Hourly","PH19011018","631.10","3,121.50"
"Hourly","PH19011019","1,661.40","1,254.30"
"Block","PB19011019-01","74.90","74.90"
"Block","PB19011019-05","60.00","120.00"
"Block","PB19011020-01","67.70","67.70"
"Hourly","PH19011020","1,604.20","969.30"
"Hourly","PH19011021","1,195.80","1,597.40"
"Block","PB19011021-01","169.40","169.40"
"Hourly","PH19011022","956.40","792.10"
"Block","PB19011022-01","365.10","365.10"
"Hourly","PH19011023","677.70","2,021.00"
"Block","PB19011023-01","73.60","73.60"
"Hourly","PH19011100","328.60","915.80"
"Block","PB19011100-01","99.50","99.50"
"Block","PB19011100-24","63.00","63.00"
"Hourly","PH19011101","1,287.20","882.80"
"Block","PB19011101-01","101.60","101.60"
"Block","PB19011102-01","118.20","118.20"
"Hourly","PH19011102","460.90","1,186.00"
"Block","PB19011103-01","97.90","97.90"
"Hourly","PH19011103","422.00","1,197.30"
"Hourly","PH19011104","437.70","1,460.20"
"Block","PB19011104-01","101.70","101.70"
"Block","PB19011105-01","96.40","96.40"
"Hourly","PH19011105","477.10","1,092.80"
"Block","PB19011106-01","104.90","104.90"
"Hourly","PH19011106","2,674.90","663.80"
"Hourly","PH19011107","568.70","1,161.60"
"Block","PB19011107-01","69.10","69.10"
"Hourly","PH19011108","2,737.90","444.60"
"Block","PB19011108-01","80.80","80.80"
"Block","PB19011109-01","104.30","104.30"
"Hourly","PH19011109","2,774.00","251.90"
"Block","PB19011110-01","113.30","113.30"
"Hourly","PH19011110","2,267.80","287.60"
"Block","PB19011111-01","80.20","80.20"
"Hourly","PH19011111","1,855.50","650.90"
"Block","PB19011112-01","101.70","97.10"
"Hourly","PH19011112","2,328.80","1,210.30"
"Block","PB19011113-01","96.40","96.40"
"Hourly","PH19011113","3,321.10","621.80"
"Block","PB19011114-01","66.20","66.20"
"Hourly","PH19011114","2,447.90","1,104.70"
"Block","PB19011115-01","86.90","83.40"
"Hourly","PH19011115","2,619.70","969.20"
"Block","PB19011116-01","61.60","61.60"
"Hourly","PH19011116","3,227.50","1,293.70"
"Block","PB19011117-01","112.00","122.00"
"Hourly","PH19011117","3,739.90","1,179.20"
"Block","PB19011118-06","28.00","28.00"
"Hourly","PH19011118","1,603.80","1,644.70"
"Block","PB19011118-01","117.90","158.90"
"Block","PB19011119-01","62.80","62.80"
"Hourly","PH19011119","1,094.60","3,472.50"
"Block","PB19011120-01","83.90","77.90"
"Hourly","PH19011120","951.50","3,326.90"
"Block","PB19011121-01","87.90","81.20"
"Hourly","PH19011121","1,797.80","2,894.70"
"Block","PB19011122-01","108.40","100.30"
"Hourly","PH19011122","1,780.20","2,917.10"
"Block","PB19011123-01","103.10","95.70"
"Hourly","PH19011123","2,428.60","3,355.20"
"Block","PB19011200-01","128.00","128.00"
"Hourly","PH19011200","468.00","877.00"
"Block","PB19011201-01","63.80","63.80"
"Hourly","PH19011201","331.60","576.10"
"Block","PB19011202-01","66.80","66.80"
"Hourly","PH19011202","394.50","2,754.40"
"Block","PB19011203-01","64.90","64.90"
"Hourly","PH19011203","469.00","3,357.90"
"Hourly","PH19011204","342.50","3,572.50"
"Block","PB19011204-01","60.00","60.00"
"Hourly","PH19011205","282.10","14,252.10"
"Block","PB19011205-01","76.80","76.80"
"Block","PB19011206-01","57.40","57.40"
"Hourly","PH19011206","432.00","15,408.60"
"Block","PB19011207-01","73.00","73.00"
"Hourly","PH19011207","230.00","10,698.00"
"Hourly","PH19011208","546.60","1,229.00"
"Block","PB19011208-01","56.10","56.10"
"Block","PB19011209-01","68.60","68.60"
"Hourly","PH19011209","510.10","717.30"
"Block","PB19011210-01","73.00","73.00"
"Hourly","PH19011210","660.80","810.50"
